template,station,position,facing,canonical_model_y_degrees,minecraft_direction_xyz,blender_direction_xyz,camera_relative_direction_xyz,screen_delta_pixels_per_block_xy_y_down,proof
legacy,crafting_table,center,n/a - no facing blockstate,0,,,,,No facing blockstate. Approved canonical rotation and all child transforms retained.
legacy,furnace,top,east,90,"[1, 0, 0]","[0.0, -1.0, 0.0]","[-0.7071068286895752, -0.4082481861114502, 0.5773501396179199]","[-101.26959228515625, 58.46795654296875]","Minecraft east (+X) -> Blender (0,-1,0); camera-relative X<0 and Y<0, hence left and down. PNG coordinate Y grows downward."
legacy,enchanting_table,top-right,n/a - no facing blockstate,0,,,,,No facing blockstate. Approved canonical rotation and all child transforms retained.
legacy,anvil,bottom-right,east,270,"[1, 0, 0]","[0.0, -1.0, 0.0]","[-0.7071068286895752, -0.4082481861114502, 0.5773501396179199]","[-101.26959228515625, 58.46795654296875]","Minecraft east (+X) -> Blender (0,-1,0); camera-relative X<0 and Y<0, hence left and down. PNG coordinate Y grows downward."
legacy,chest,bottom,east,90,"[1, 0, 0]","[0.0, -1.0, 0.0]","[-0.7071068286895752, -0.4082481861114502, 0.5773501396179199]","[-101.26959228515625, 58.467987060546875]","Minecraft east (+X) -> Blender (0,-1,0); camera-relative X<0 and Y<0, hence left and down. PNG coordinate Y grows downward."
legacy,ender_chest,bottom-left,east,90,"[1, 0, 0]","[0.0, -1.0, 0.0]","[-0.7071068286895752, -0.4082481861114502, 0.5773501396179199]","[-101.2695541381836, 58.467987060546875]","Minecraft east (+X) -> Blender (0,-1,0); camera-relative X<0 and Y<0, hence left and down. PNG coordinate Y grows downward."
legacy,brewing_stand,top-left,n/a - no facing blockstate,0,,,,,No facing blockstate. Approved canonical rotation and all child transforms retained.
modern,crafting_table,center,n/a - no facing blockstate,0,,,,,No facing blockstate. Approved canonical rotation and all child transforms retained.
modern,blast_furnace,top,east,90,"[1, 0, 0]","[0.0, -1.0, 0.0]","[-0.7071068286895752, -0.4082481861114502, 0.5773501396179199]","[-104.93875122070312, 60.58636474609375]","Minecraft east (+X) -> Blender (0,-1,0); camera-relative X<0 and Y<0, hence left and down. PNG coordinate Y grows downward."
modern,enchanting_table,top-right,n/a - no facing blockstate,0,,,,,No facing blockstate. Approved canonical rotation and all child transforms retained.
modern,smithing_table,bottom-right,n/a - no facing blockstate,0,,,,,No facing blockstate. Approved canonical rotation and all child transforms retained.
modern,chest,bottom,east,90,"[1, 0, 0]","[0.0, -1.0, 0.0]","[-0.7071068286895752, -0.4082481861114502, 0.5773501396179199]","[-104.93878173828125, 60.586402893066406]","Minecraft east (+X) -> Blender (0,-1,0); camera-relative X<0 and Y<0, hence left and down. PNG coordinate Y grows downward."
modern,grindstone,bottom-left,east,90,"[1, 0, 0]","[0.0, -1.0, 0.0]","[-0.7071068286895752, -0.4082481861114502, 0.5773501396179199]","[-104.93875122070312, 60.586395263671875]","Minecraft east (+X) -> Blender (0,-1,0); camera-relative X<0 and Y<0, hence left and down. PNG coordinate Y grows downward."
modern,brewing_stand,top-left,n/a - no facing blockstate,0,,,,,No facing blockstate. Approved canonical rotation and all child transforms retained.
